chain,query_id,question,language,item_title,relevant_count,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,mrr,first_relevant_rank,retrieved_detail
governed_v2,q001,在RAG系统中，父子块之间的映射关系通常通过什么方式在工程落地中建立,zh,面试常见问题,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.2,0.1,1,1,1,0.5531464700081437,0.4935232796777482,0.4935232796777482,1.0,1,*#1:a81ec8a3...(0.0066) | *#2:2f37f7fd...(0.0065) |  #3:be865ef7...(0.0063) |  #4:f013e21b...(0.0063) |  #5:a87597be...(0.0062) |  #6:1dacbeef...(0.0061) |  #7:607433ef...(0.0060) |  #8:21c50df6...(0.0059) |  #9:82293bae...(0.0058) |  #10:c49ff211...(0.0057) |  #11:e7c3e39a...(0.0056) |  #12:7c362dea...(0.0056) |  #13:a90156f1...(0.0055) |  #14:86f5b74a...(0.0054) |  #15:7ead3974...(0.0053) |  #16:0a983328...(0.0053) |  #17:a6da3e56...(0.0052) |  #18:0c3fd6f7...(0.0051) |  #19:50ad3d64...(0.0051) |  #20:c2ca6f6a...(0.0050)
governed_v2,q002,在Skill管理中，两阶段调用的第一阶段应检索多少个最相关的Skill,zh,面试常见问题,5,0.2,0.4,0.6,0.2,0.2,0.15,1,1,1,0.3391602052736161,0.45221360703148816,0.5468199537381525,1.0,1,*#1:7235a9ed...(0.0066) |  #2:95ce1fc4...(0.0065) |  #3:e6b0a387...(0.0063) |  #4:49cbeb99...(0.0063) |  #5:59e7d762...(0.0062) |  #6:cde8c0d1...(0.0061) | *#7:341bb66b...(0.0060) |  #8:99122a9f...(0.0059) |  #9:3210d0f5...(0.0058) |  #10:325e6c56...(0.0057) | *#11:026ab191...(0.0056) |  #12:15df4c6f...(0.0056) |  #13:3d3124c8...(0.0055) |  #14:5dc6b37a...(0.0054) |  #15:6cef7175...(0.0053) |  #16:4690749e...(0.0053) |  #17:99887fcf...(0.0052) |  #18:1dacbeef...(0.0051) |  #19:77e253e7...(0.0051) |  #20:12d829d6...(0.0050)
governed_v2,q003,What is the LLM-as-a-Judge evaluation method and how does it work,en,面试常见问题,5,0.2,0.2,0.2,0.2,0.1,0.05,1,1,1,0.16958010263680806,0.16958010263680806,0.16958010263680806,0.3333333333333333,3, #1:b5324435...(0.0066) |  #2:40b5e4f1...(0.0065) | *#3:5c6db864...(0.0063) |  #4:18aa04b1...(0.0063) |  #5:79bce538...(0.0062) |  #6:1ce3a3f6...(0.0061) |  #7:c8532093...(0.0060) |  #8:8c7c9896...(0.0059) |  #9:2ecaee90...(0.0058) |  #10:45fe3e9c...(0.0057) |  #11:1d0ac07b...(0.0056) |  #12:90a249fa...(0.0056) |  #13:eef62636...(0.0055) |  #14:09280348...(0.0054) |  #15:8d49b4bd...(0.0053) |  #16:007cef29...(0.0053) |  #17:7c362dea...(0.0052) |  #18:2a88baea...(0.0051) |  #19:e81da5ce...(0.0051) |  #20:9977e8c4...(0.0050)
governed_v2,q004,What is the core of Gemini CLI design and what are its optimization points,en,面试常见问题,5,0.2,0.2,0.4,0.2,0.1,0.1,1,1,1,0.3391602052736161,0.3391602052736161,0.4282404754918505,1.0,1,*#1:f7558f81...(0.0066) |  #2:e906229d...(0.0065) |  #3:c713dc6a...(0.0063) |  #4:e174d343...(0.0063) |  #5:c8532093...(0.0062) |  #6:d6eede91...(0.0061) |  #7:3dcb4c24...(0.0060) |  #8:6c8ce46d...(0.0059) |  #9:e81da5ce...(0.0058) |  #10:09280348...(0.0057) |  #11:da1eb643...(0.0056) |  #12:8c7c9896...(0.0056) | *#13:fafba5d6...(0.0055) |  #14:8d94ee3e...(0.0054) |  #15:a92cccc3...(0.0053) |  #16:432a562d...(0.0053) |  #17:4330dd01...(0.0052) |  #18:49922059...(0.0051) |  #19:007cef29...(0.0051) |  #20:0add883d...(0.0050)
governed_v2,q005,"What is the recommended workflow for beginners when fine-tuning a model, according to the document",en,大模型微调指南,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:9977e8c4...(0.0066) |  #2:76735e15...(0.0065) |  #3:2a88baea...(0.0063) |  #4:5cc06b0e...(0.0063) |  #5:f8b5e3b2...(0.0062) |  #6:c449c4ed...(0.0061) |  #7:7f837269...(0.0060) |  #8:ad33cecc...(0.0059) |  #9:6f41aede...(0.0058) |  #10:11d2eaa7...(0.0057) |  #11:5393dac6...(0.0056) |  #12:6969434f...(0.0056) |  #13:3166a19b...(0.0055) |  #14:1f9e6cff...(0.0054) |  #15:bf92531b...(0.0053) |  #16:2ecaee90...(0.0053) |  #17:be865ef7...(0.0052) |  #18:a6da3e56...(0.0051) |  #19:b83206db...(0.0051) |  #20:8738ef10...(0.0050)
governed_v2,q006,LangSmith链路可观测的核心价值有哪些？请结合文档举例说明如何通过它定位RAG系统中的问题。,zh,面试常见问题,6,0.3333333333333333,0.3333333333333333,0.5,0.4,0.2,0.15,1,1,1,0.5087403079104241,0.45390362024822023,0.5295542236229236,1.0,1,*#1:8194edd2...(0.0066) |  #2:bc6f2774...(0.0065) | *#3:4a742e6f...(0.0063) |  #4:b61354df...(0.0063) |  #5:f8b5e3b2...(0.0062) |  #6:55c76298...(0.0061) |  #7:cde8c0d1...(0.0060) |  #8:f013e21b...(0.0059) |  #9:15df4c6f...(0.0058) |  #10:a87597be...(0.0057) |  #11:bf92531b...(0.0056) |  #12:67fa8fd0...(0.0056) |  #13:9c78d39c...(0.0055) |  #14:ebbe5bb4...(0.0054) | *#15:0bb2028c...(0.0053) |  #16:a6da3e56...(0.0053) |  #17:325e6c56...(0.0052) |  #18:996a3b64...(0.0051) |  #19:7f837269...(0.0051) |  #20:33945b13...(0.0050)
governed_v2,q007,在GRPO训练中，思考长度与答案正确性之间存在怎样的相关性？请结合短期与长期奖励、探索与利用以及任务复杂度等方面进行解释。,zh,好未来,6,0.5,0.6666666666666666,0.8333333333333334,0.6,0.4,0.25,1,1,1,0.4912596920895758,0.5337676583167362,0.6077995028255045,0.5,2, #1:38f5e47d...(0.0066) | *#2:5613423a...(0.0065) |  #3:c9771690...(0.0063) | *#4:ca329bc9...(0.0063) | *#5:82293bae...(0.0062) |  #6:0c3fd6f7...(0.0061) |  #7:80bd6f82...(0.0060) | *#8:476d8e88...(0.0059) |  #9:24610b2f...(0.0058) |  #10:1f2f4747...(0.0057) |  #11:4a805af6...(0.0056) |  #12:9cc817a5...(0.0056) |  #13:dde7bc96...(0.0055) |  #14:88bcf776...(0.0054) |  #15:996a3b64...(0.0053) | *#16:54bcc33e...(0.0053) |  #17:67fa8fd0...(0.0052) |  #18:3dcb4c24...(0.0051) |  #19:62604032...(0.0051) |  #20:9bd84a56...(0.0050)
governed_v2,q008,What is the effective date of the C/C++ coding standard document,en,C++编码规范V01.00,5,0.2,0.2,0.2,0.2,0.1,0.05,1,1,1,0.14606834984270645,0.14606834984270645,0.14606834984270645,0.25,4, #1:2dd79d42...(0.0066) |  #2:ebe450e7...(0.0065) |  #3:0265a7d3...(0.0063) | *#4:06ede455...(0.0063) |  #5:d6fa991b...(0.0062) |  #6:4047afa3...(0.0061) |  #7:4cbe120f...(0.0060) |  #8:8c6b3714...(0.0059) |  #9:fb81fe95...(0.0058) |  #10:407e3808...(0.0057) |  #11:17262962...(0.0056) |  #12:ad33cecc...(0.0056) |  #13:e23cc66a...(0.0055) |  #14:9a0635f7...(0.0054) |  #15:aeef4400...(0.0053) |  #16:6edfa2a9...(0.0053) |  #17:e455a3de...(0.0052) |  #18:59a57b24...(0.0051) |  #19:6001177d...(0.0051) |  #20:96c9fadf...(0.0050)
governed_v2,q009,PPO算法中用于限制策略更新幅度的clip范围通常设为多少,zh,好未来,5,0.2,0.2,0.6,0.2,0.1,0.15,1,1,1,0.3391602052736161,0.3391602052736161,0.5254205799086135,1.0,1,*#1:4330dd01...(0.0066) |  #2:1f2f4747...(0.0065) |  #3:282b226c...(0.0063) |  #4:88bcf776...(0.0063) |  #5:4fd793b3...(0.0062) |  #6:33945b13...(0.0061) |  #7:d328c166...(0.0060) |  #8:901543f8...(0.0059) |  #9:996a3b64...(0.0058) |  #10:9cc817a5...(0.0057) | *#11:d08621e3...(0.0056) | *#12:79175d39...(0.0056) |  #13:0c3fd6f7...(0.0055) |  #14:60e5aea3...(0.0054) |  #15:4ebf8cc4...(0.0053) |  #16:c3507937...(0.0053) |  #17:0a983328...(0.0052) |  #18:ad4886f4...(0.0051) |  #19:89a7c395...(0.0051) |  #20:59456ba4...(0.0050)
governed_v2,q010,在文本分类任务的最小可行方案中，推荐的数据量是多少,zh,大模型微调指南,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.1,0.05,1,1,1,0.2960819109658652,0.2960819109658652,0.2960819109658652,0.5,2, #1:63e89559...(0.0066) | *#2:f8c4350b...(0.0065) |  #3:062f62c4...(0.0063) |  #4:342dbfc7...(0.0063) |  #5:f49041e1...(0.0062) |  #6:1b0e9c0e...(0.0061) |  #7:6153989c...(0.0060) |  #8:6d669434...(0.0059) |  #9:7e6099ec...(0.0058) |  #10:5393dac6...(0.0057) |  #11:93ecab00...(0.0056) |  #12:ece86ebf...(0.0056) |  #13:66e3e8e5...(0.0055) |  #14:48bc8b40...(0.0054) |  #15:d0b9cfde...(0.0053) |  #16:25c0a826...(0.0053) |  #17:b1065225...(0.0052) |  #18:79be1cfc...(0.0051) |  #19:13547bda...(0.0051) |  #20:1c47194f...(0.0050)
