chain,query_id,question,language,item_title,relevant_count,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,mrr,first_relevant_rank,retrieved_detail
governed_v2,q001,在RAG系统中，父子块之间的映射关系通常通过什么方式在工程落地中建立,zh,面试常见问题,6,0.8333333333333334,1.0,1.0,1.0,0.6,0.3,1,1,1,1.0,1.0,1.0,1.0,1,*#1:a81ec8a3... | *#2:2f37f7fd... | *#3:b83206db... | *#4:94af8127... | *#5:182e0958... | *#6:ad33cecc... |  #7:f013e21b... |  #8:876a67f8... |  #9:33045e66... |  #10:8da77638... |  #11:ebbe5bb4... |  #12:1dacbeef... |  #13:cedd814d... |  #14:499eaf0f... |  #15:f01e6d1a... |  #16:7a7a58aa... |  #17:21c50df6... |  #18:82293bae... |  #19:b9484b23... |  #20:a90156f1...
governed_v2,q002,在Skill管理中，两阶段调用的第一阶段应检索多少个最相关的Skill,zh,面试常见问题,5,1.0,1.0,1.0,1.0,0.5,0.25,1,1,1,1.0,1.0,1.0,1.0,1,*#1:7235a9ed... | *#2:341bb66b... | *#3:026ab191... | *#4:06516ced... | *#5:33efff05... |  #6:e6b0a387... |  #7:410ecc3a... |  #8:99122a9f... |  #9:59e7d762... |  #10:92050b3d... |  #11:3210d0f5... |  #12:cde8c0d1... |  #13:325e6c56... |  #14:5393dac6... |  #15:5dc6b37a... |  #16:e093366b... |  #17:c5f38d3e... |  #18:6cef7175... |  #19:2b08d353... |  #20:ffb9c7e9...
governed_v2,q003,What is the LLM-as-a-Judge evaluation method and how does it work,en,面试常见问题,5,0.2,0.2,1.0,0.2,0.1,0.25,1,1,1,0.16958010263680806,0.16958010263680806,0.4864472539597559,0.3333333333333333,3, #1:b5324435... |  #2:40b5e4f1... | *#3:5c6db864... |  #4:18aa04b1... |  #5:79bce538... |  #6:1ce3a3f6... |  #7:c8532093... |  #8:8c7c9896... |  #9:2ecaee90... |  #10:45fe3e9c... |  #11:1d0ac07b... |  #12:90a249fa... |  #13:eef62636... |  #14:09280348... |  #15:8d49b4bd... |  #16:007cef29... | *#17:e7c3e39a... | *#18:d49ac420... | *#19:da047154... | *#20:34fdf438...
governed_v2,q004,What is the core of Gemini CLI design and what are its optimization points,en,面试常见问题,5,0.2,1.0,1.0,0.2,0.5,0.25,1,1,1,0.3391602052736161,0.7593434203530206,0.7593434203530206,1.0,1,*#1:f7558f81... |  #2:e906229d... |  #3:c713dc6a... |  #4:e174d343... |  #5:c8532093... |  #6:d6eede91... | *#7:fafba5d6... | *#8:b26160f2... | *#9:18997384... | *#10:6fe61f8b... |  #11:6c8ce46d... |  #12:e81da5ce... |  #13:09280348... |  #14:da1eb643... |  #15:8c7c9896... |  #16:8d94ee3e... |  #17:a92cccc3... |  #18:432a562d... |  #19:4330dd01... |  #20:49922059...
governed_v2,q005,"What is the recommended workflow for beginners when fine-tuning a model, according to the document",en,大模型微调指南,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:9977e8c4... |  #2:76735e15... |  #3:2a88baea... |  #4:5cc06b0e... |  #5:f8b5e3b2... |  #6:c449c4ed... |  #7:f03a5673... |  #8:80d06c07... |  #9:030fccef... |  #10:d9cc0381... |  #11:ad33cecc... |  #12:6f41aede... |  #13:11d2eaa7... |  #14:5393dac6... |  #15:6969434f... |  #16:3166a19b... |  #17:1f9e6cff... |  #18:a6da3e56... |  #19:325e6c56... |  #20:2f5dc6a1...
governed_v2,q006,LangSmith链路可观测的核心价值有哪些？请结合文档举例说明如何通过它定位RAG系统中的问题。,zh,面试常见问题,6,0.8333333333333334,1.0,1.0,1.0,0.6,0.3,1,1,1,1.0,1.0,1.0,1.0,1,*#1:8194edd2... | *#2:4a742e6f... | *#3:0bb2028c... | *#4:a1af40e0... | *#5:3166a19b... | *#6:5d150c69... |  #7:b61354df... |  #8:f8b5e3b2... |  #9:1f9e6cff... |  #10:b446621d... |  #11:9c78d39c... |  #12:8379083e... |  #13:b6e16ce9... |  #14:cde8c0d1... |  #15:f013e21b... |  #16:5393dac6... |  #17:5dc6b37a... |  #18:e093366b... |  #19:c5f38d3e... |  #20:876a67f8...
governed_v2,q007,在GRPO训练中，思考长度与答案正确性之间存在怎样的相关性？请结合短期与长期奖励、探索与利用以及任务复杂度等方面进行解释。,zh,好未来,6,0.8333333333333334,1.0,1.0,1.0,0.6,0.3,1,1,1,1.0,1.0,1.0,1.0,1,*#1:901047cf... | *#2:82293bae... | *#3:5613423a... | *#4:ca329bc9... | *#5:476d8e88... | *#6:54bcc33e... |  #7:c9771690... |  #8:9cc817a5... |  #9:80bd6f82... |  #10:78ec8436... |  #11:a01c3dc1... |  #12:24610b2f... |  #13:4fd793b3... |  #14:282b226c... |  #15:901543f8... |  #16:d328c166... |  #17:62604032... |  #18:9bd84a56... |  #19:ac7596b0... |  #20:49120e6a...
governed_v2,q008,What is the effective date of the C/C++ coding standard document,en,C++编码规范V01.00,5,0.0,0.2,1.0,0.0,0.1,0.25,0,1,1,0.0,0.10209739512291163,0.4642488162120697,0.1111111111111111,9, #1:2dd79d42... |  #2:ebe450e7... |  #3:ae7d965a... |  #4:8891387f... |  #5:ad2a3d28... |  #6:818c4041... |  #7:a886cd6f... |  #8:6edfa2a9... | *#9:06ede455... |  #10:d6fa991b... | *#11:4283e1c2... | *#12:1ae6dfa0... | *#13:8f3bea3a... | *#14:86ab52bf... |  #15:4cbe120f... |  #16:8c6b3714... |  #17:0621a33e... |  #18:7f7a98ea... |  #19:71fb6669... |  #20:407e3808...
governed_v2,q009,PPO算法中用于限制策略更新幅度的clip范围通常设为多少,zh,好未来,5,0.2,1.0,1.0,0.2,0.5,0.25,1,1,1,0.3391602052736161,0.7593434203530206,0.7593434203530206,1.0,1,*#1:4330dd01... |  #2:4fd793b3... |  #3:282b226c... |  #4:901543f8... |  #5:d328c166... |  #6:62604032... | *#7:46b9218d... | *#8:966606e0... | *#9:d08621e3... | *#10:79175d39... |  #11:33945b13... |  #12:ad4886f4... |  #13:5fb22568... |  #14:60e5aea3... |  #15:dde7bc96... |  #16:9b048373... |  #17:9cc817a5... |  #18:c9771690... |  #19:80bd6f82... |  #20:78ec8436...
governed_v2,q010,在文本分类任务的最小可行方案中，推荐的数据量是多少,zh,大模型微调指南,3,0.6666666666666666,1.0,1.0,0.4,0.3,0.15,1,1,1,0.4776237035032179,0.6447841584694202,0.6447841584694202,0.5,2, #1:63e89559... | *#2:f8c4350b... |  #3:062f62c4... |  #4:342dbfc7... | *#5:7a138cd1... | *#6:e04232cb... |  #7:1b0e9c0e... |  #8:6153989c... |  #9:b1065225... |  #10:dd0c7eba... |  #11:8be23459... |  #12:de02d350... |  #13:d4caebe5... |  #14:7e6099ec... |  #15:5393dac6... |  #16:93ecab00... |  #17:ece86ebf... |  #18:1f3df65a... |  #19:2d53c8d3... |  #20:f0a34b0d...
